Recipient,State,Municipality,Type,Address,School offering early childhood education,Cação or anjo?
E. M. ASSOCIAÇÃO BALBINA FONSECA,Rio de Janeiro,Valença,School,"Rua Dom André Arcoverde, 123, Centro",,cação
E.M.BEATRIZ ELIANE CORDEIRO SANTOS,Rio de Janeiro,São Gonçalo,School,"ESTRADA DO COELHO, S/Nº",,cação
E.M.BELARMINO RICARDO SIQUEIRA,Rio de Janeiro,São Gonçalo,School,"RUA EVARISTO DA VEIGA, S/Nº",,cação
E.M. CAETANO DE OLIVEIRA,Rio de Janeiro,Mangaratiba,School,"Rua Cecília, 213 – Itacuruçá",,cação
E.M. CAMPOS DO CRISTAL,Rio Grande do Sul,Porto Alegre,School,"Beco do Império, s/n - Vila Nova",,anjo
E.M. CANDIDO JORGE CAPIXABA - CIEP 294,Rio de Janeiro,Mangaratiba,School,"Av. José Antonio da Costa, s/nº - Praia do Saco",,cação
E.M.CARLOS DRUMMOND DE ANDRADE,Rio de Janeiro,São Gonçalo,School,"ESTRADA DA ITAOCA, S/Nº",,cação
E. M. CARLOS EDUARDO NICHELE,Paraná,Fazenda Rio Grande,School,"R: Nossa Sra. do Rocio, 114",,cação
E.M. CEL. MOREIRA DA SILVA,Rio de Janeiro,Mangaratiba,School,"Rua Nillo Peçanha, 162 – Mangaratiba.",,cação
E.M.CELIA PEREIRA DA ROSA,Rio de Janeiro,São Gonçalo,School,"RUA ALTA ROSA, S/Nº",,cação
E.M. CHAPÉU DO SOL,Rio Grande do Sul,Porto Alegre,School,"Av. Juca Batista, s/n Restinga",,anjo
E.M. CHICO MENDES,Rio Grande do Sul,Porto Alegre,School,"Rua das Seringueiras, s/nº",,anjo
E.M. CORDÉLIA JOSEPHINA DE M. PAHL,Rio de Janeiro,Mangaratiba,School,"Estrada São João Marcos, s/nº - Benguela",,cação
E. M. CORONEL CARDOSO,Rio de Janeiro,Valença,School,"Estrada Parapeúna – Santa Rita, Parapeúna",,cação
E.M.DARCY RIBEIRO,Rio de Janeiro,São Gonçalo,School,"RUAITATUBA, 18",,cação
E. M. DAURA S. BARBOSA/E. M. ARLINDO DA S. NOGUEIRA,Rio de Janeiro,Valença,School,"Estrada Valença x Rio das Flores, 2025, Biquinha",,cação
E.M. DÉCIO MARTINS COSTA,Rio Grande do Sul,Porto Alegre,School,"Rua Cristóvão Jaques, 488 Sarandi",,anjo
E. M. DE EN. FUNDAMENTAL DEPUTADO LUIZ PINTO,Rio de Janeiro,Valença,School,"Rua Benjamim Guimarães, 104, Centro",,cação
E. M. DEP. LUIZ GABRIEL SAMPAIO,Paraná,Fazenda Rio Grande,School,"R: São Braz, 94",,cação
E.M. DEP. MARCÍRIO GOULART LOUREIRO,Rio Grande do Sul,Porto Alegre,School,"Rua Saibreira, s/n - Vila N. São Miguel -Partenon",,anjo
E.M. DEP. VICTOR ISSLER,Rio Grande do Sul,Porto Alegre,School,"Rua 19 de Fevereiro, 330 -Chácara da Fumaça",,anjo
E.M.DEPUTADO JOSE CARLOS BRANDAO MONTEIRO,Rio de Janeiro,São Gonçalo,School,"RUA CARLOS WALTER HISSERICH,S/Nº",,cação
E. M. DEPUTADO LUIZ PINTO,Rio de Janeiro,Valença,School,"Avenida Nilo Peçanha, 506, Centro",,cação
E.M.DESEMBARGADOR RONALD DE SOUZA,Rio de Janeiro,São Gonçalo,School,"RUA FRANCISCO CAMPOS, S/Nº",,cação
E.M. DIOGO MARTINS,Rio de Janeiro,Mangaratiba,School,"Estrada São João Marcos, s/nº - Nova Mangaratiba.",,cação
E.M. DOLORES ALCARAZ CALDAS,Rio Grande do Sul,Porto Alegre,School,"Rua Dr. Carlos Niederauer Hoffmeister, 85 Vila Restinga",,anjo
E.M.DOUTOR ARMANDO LEAO FERREIRA,Rio de Janeiro,São Gonçalo,School,"RUA MARIO QUINTÃO, S/Nº",,cação
E.M.DOUTOR HERACLITO FONTOURA SOBRAL PINTO,Rio de Janeiro,São Gonçalo,School,"RUA BELMIRO FERREIRA DA SILVA , S/N",,cação
E.M.DUQUE ESTRADA,Rio de Janeiro,São Gonçalo,School,"RUA GUILHERME SANTOS ANDRADE,10",,cação
E.M.E. ELYSEU PAGLIOLI,Rio Grande do Sul,Porto Alegre,School,"Rua Butuí, 221",,anjo
E.M.E.F. BENTO GONÇALVES.,Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.F. BOM JESUS,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Amazonas, 810",,anjo
E.M.E.F. DOMINGOS SARAIVA,Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.F. DONA LEOPOLDINA,Rio Grande do Sul,Santa Cruz do Sul,School,Linha João Alves,,anjo
E.M.E.F. DR. GUILHERME A.O. HILDEBRAND,Rio Grande do Sul,Santa Cruz do Sul,School,"Av. Euclides N. Kliemann, 5315",,anjo
E.M.E.F. DUQUE DE CAXIAS,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Espírito Santo, 121",,anjo
E.M.E.F. FREDERICO ASSMANN,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Lindolfo Grawunder, 335",,anjo
E.M.E.F. GUIDO HERBERTS,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Irmão Emílio, 425",,anjo
E.M.E.F. HARMONIA,Rio Grande do Sul,Santa Cruz do Sul,School,"Av. David Severo Mânica, 249",,anjo
E.M.E.F. JOSÉ LEOPOLDO RAUBER,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Cons. Theodoro Albrecht, 565",,anjo
E.M.E.F. JOSÉ MARQUES,Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.F. JOSÉ MARQUES LOPES (EJA),Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.F. LEONEL DE MOURA BRIZOLA,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Benno Diefenbach, 450 – Bairro Santo Antônio",,anjo
E.M.E.F. LUIZ SCHROEDER,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Dona Flora, 206",,anjo
E.M.E.F. MAJOR CACILDO KREBS,Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.F. MENINO DEUS,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua 14, no 19",,anjo
E.M.E.F. NORMÉLIO EGÍDIO BOETTCHER,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Triunfo, 150",,anjo
E.M.E.F. PROF. JOSÉ FERRUGEM,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Professor José Ferrugem, 115",,anjo
E.M.E.F. SANTUÁRIO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Padre Landel de Moura, 400",,anjo
E.M.E.F. SÃO CANÍSIO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Víctor Frederico Baumhardt, 2398",,anjo
E.M.E.F. WILLY CARLOS FROEHLICH,Rio Grande do Sul,Santa Cruz do Sul,School,"Av. Orlando O. Baumhardt, 3.811",,anjo
E.M.E.I. ALIANÇA,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua João Gomes Cardoso, 260",YES,anjo
E.M.E.I. BAIRRO CAVALHADA,Rio Grande do Sul,Porto Alegre,School,"Rua Canela, 180 Cavalhada",YES,anjo
E.M.E.I. BEIJA-FLOR,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Paulo Sthal, 65",YES,anjo
E.M.E.I. CASTELO INFANTIL,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Gastão Baumhardt, 60",YES,anjo
E.M.E.I. CRIANÇA FELIZ,Rio Grande do Sul,Palmares do Sul,School,N/A,,anjo
E.M.E.I. CRIANÇA FELIZ,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Visconde de Mauá, 17",YES,anjo
E.M.E.I. DOM LUIZ DE NADAL,Rio Grande do Sul,Porto Alegre,School,"Rua Dr. Carlos N. Hoffmeister, 808",YES,anjo
E.M.E.I. ESTRELINHA DO MAR,Rio Grande do Sul,Palmares do Sul,School,N/A,YES,anjo
E.M.E.I. FLORÊNCIA V. SOCIAS,Rio Grande do Sul,Porto Alegre,School,"Acesso 1, s/n Vila Nova Restinga",YES,anjo
E.M.E.I. GENTE MIÚDA,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Dona Miriam, 40",YES,anjo
E.M.E.I. JARDIM CAMAQUÃ,Rio Grande do Sul,Porto Alegre,School,"Rua João Pitta Pinheiro, esquina com a Av. Acesso 1",YES,anjo
E.M.E.I. JARDIM SALOMONI,Rio Grande do Sul,Porto Alegre,School,"Rua Joaquim de Carvalho, 325 Cavalhada",YES,anjo
E.M.E.I. LINHA SANTA CRUZ,Rio Grande do Sul,Santa Cruz do Sul,School,"Avenida Orlando Oscar Baumhardt, 75",YES,anjo
E.M.E.I. LULUZINHA,Rio Grande do Sul,Palmares do Sul,School,N/A,YES,anjo
E.M.E.I. MARGARIDA/AURORA,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Arlindo Kothe, 98",YES,anjo
E.M.E.I. MUNDO MÁGICO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Barreto, 145",YES,anjo
E.M.E.I. PARAÍSO INFANTIL,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Lisboa, 25",YES,anjo
E.M.E.I. PAULO FREIRE,Rio Grande do Sul,Porto Alegre,School,"Av. Meridional, s/n Restinga",YES,anjo
E.M.E.I. PEIXINHO DOURADO,Rio Grande do Sul,Palmares do Sul,School,N/A,YES,anjo
E.M.E.I. PEQUENINOS DO FAXINAL,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Candelária, 410",YES,anjo
E.M.E.I. PINGO DE GENTE,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Dr. Ortemberg, 336 – Bairro Santo Inácio",YES,anjo
E.M.E.I. PINTANDO 7,Rio Grande do Sul,Palmares do Sul,School,N/A,YES,anjo
E.M.E.I. PONTA GROSSA,Rio Grande do Sul,Porto Alegre,School,"Rua Retiro da Ponta Grossa, 3581",YES,anjo
E.M.E.I. PROGRESSO,Rio Grande do Sul,Santa Cruz do Sul,School,"Av. Euclides Nicolau Kliemann, 5.395",YES,anjo
E.M.E.I. RAIO DE SOL,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Lindolfo Grawunder, 281",YES,anjo
E.M.E.I. SONHO DE CRIANÇA,Rio Grande do Sul,Santa Cruz do Sul,School,"R.: José Gomes de Freitas, 160",YES,anjo
E.M.E.I. VILA MONTE CRISTO,Rio Grande do Sul,Porto Alegre,School,"Rua A, 250 Vila Monte Cristo",YES,anjo
E.M.E.I. VILA NOVA,Rio Grande do Sul,Porto Alegre,School,"Rua Fernando Pessoa, 350",YES,anjo
E.M.E.I. VILA NOVA RESTINGA,Rio Grande do Sul,Porto Alegre,School,"Rua Alvaro Delfim, 480",YES,anjo
E.M.E.I. VOVÔ ALBINO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Profa Alice Simões Pires, 620",YES,anjo
E.M.E.I. VOVÔ ARLINDO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Abrelino Pedroso, 351",YES,anjo
E.M.E.I. VOVÔ ARNO,Rio Grande do Sul,Santa Cruz do Sul,School,"Rua Campinas, 352",YES,anjo
E.M.E. PROF. LUIZ F. LUCENA BORGES,Rio Grande do Sul,Porto Alegre,School,"Rua Cláudio Manoel da Costa, 270 -Jardim Sabará",,anjo
E.M.E. PROFA LYGIA M. AVERBUCK,Rio Grande do Sul,Porto Alegre,School,"Rua AG Projetada, s/n -Jardim do Salso",,anjo
E.M.E. TRISTÃO SUCUPIRA VIANA,Rio Grande do Sul,Porto Alegre,School,"Rua Economista Nilo Wulff, s/n",,anjo
E.M. ED. ESP. EMANUELA RIBEIRO DE SOUZA – CER,Rio de Janeiro,Mangaratiba,School,"Av. Frei Afonso, 871 - Praia do Saco",,cação
E.M. ED. INF. PROFª Mª DE LOURDES P. PEREIRA DA SILVA,Rio de Janeiro,Mangaratiba,School,"Av. Cândido Jorge, s/nº Muriqui",,cação
E. M. EDUARDO LEITE PINTO,Rio de Janeiro,Valença,School,"Rua Durval Passos de Mello, s/nº, São José das Palmeiras",,cação
E.M.ELPIDIO DOS SANTOS,Rio de Janeiro,São Gonçalo,School,"AVENIDA OLINTO PEREIRA,S/Nº",,cação
E.M. EMÍLIO MEYER,Rio Grande do Sul,Porto Alegre,School,"Av. Niterói, 472 Medianeira",,anjo
E. M. ENGENHEIRO ALBERTO FURTADO,Rio de Janeiro,Valença,School,"Engenheiro Alberto Furtado, Parapeúna",,cação
E.M. EVA MARIA CONCEIÇÃO OLIVEIRA,Rio de Janeiro,Armação dos Búzios,School,Rua Nelson Altino Gonçalves,,cação
E. M. FERNANDO DE OLIVEIRA CASTRO,Rio de Janeiro,Valença,School,"Rua Antonio Aleixo, 35, Varginha",,cação
E.M.FILADELFIA,Rio de Janeiro,São Gonçalo,School,"RUA ITAPARICA, 70",,cação
E.M.FLORISBELA MARIA NUNES HAASE,Rio de Janeiro,São Gonçalo,School,"RUA RIO NEGRO, S/Nº",,cação
E.M. GABRIEL OBINO,Rio Grande do Sul,Porto Alegre,School,"Rua Eng. Ludolfo Boehl, 1402 Glória",,anjo
E. M. GENEROSO SALUSTIANO BARBOSA,Paraná,Fazenda Rio Grande,School,R: Paulo Leminski,,cação
E. M. GERALDA FONSECA,Rio de Janeiro,Valença,School,"Estrada Ipiabas – Conservatória, 5733, Desvio Gomes",,cação
E.M. GLAUBER DOS SANTOS BORGES,Rio de Janeiro,Mangaratiba,School,"Pça. Waldimiro J. Nogueira, s/nº. – Conceição de Jacareí",,cação
E.M. GOV. ILDO MENEGHETTI,Rio Grande do Sul,Porto Alegre,School,"Rua C, 250 - Vila Nova Santa Rosa - Rubem Berta",,anjo
E.M.GOVERNADOR ROBERTO DA SILVEIRA,Rio de Janeiro,São Gonçalo,School,"AV. JOSÉ MENDONÇA DE CAMPOS, 298",,cação
E.M. GRANDE ORIENTE,Rio Grande do Sul,Porto Alegre,School,"Rua A, 600 Conj. Res. Rubem Berta COHAB",,anjo
E. M. GUISELA KUSS REIKE,Paraná,Fazenda Rio Grande,School,"Av. Portugal, 244",,cação
E.M. HEITOR VILLA LOBOS,Rio Grande do Sul,Porto Alegre,School,"Av. Santos Dias da Silva, s/n -Vila Mapa",,anjo
E. M. HENRIQUE DE OLIVEIRA CONCEIÇÃO,Rio de Janeiro,Valença,School,"Rua 27 de Novembro, 1413, João Dias",,cação
E.M.I. DR. WALTER SILBER,Rio Grande do Sul,Porto Alegre,School,"Rua Frei Clemente, 150 Vila São José Partenon",YES,anjo
E.M.I. ÉRICO VERÍSSIMO,Rio Grande do Sul,Porto Alegre,School,"Rua Modesto Franco, 100 - Passo das Pedras",YES,anjo
E.M.I. HUMAITÁ,Rio Grande do Sul,Porto Alegre,School,"Rua Caio Brandão de Mello, s/n -Humaitá",YES,anjo
E.M.I. ILHA DA PINTADA,Rio Grande do Sul,Porto Alegre,School,Esquina da Rua dos Garruchos (prolonga- mento da Rua Japeru) Ilha da Pintada,YES,anjo
E.M.I. JARDIM BENTO GONÇALVES,Rio Grande do Sul,Porto Alegre,School,"Rua Sargento Exp. Geraldo Santana, 40 Partenon",YES,anjo
E.M.I. MARIA MARQUES FERNANDES,Rio Grande do Sul,Porto Alegre,School,"R. Santos Dias da Silva, 550 - Vila Mapa -L. do Pinheiro",YES,anjo
E.M.I. NOVA GLEBA,Rio Grande do Sul,Porto Alegre,School,"Av. Guido Alberto Werlang, 747 -Rubem Berta",YES,anjo
E.M.I. OSMAR DOS SANTOS FREITAS,Rio Grande do Sul,Porto Alegre,School,"Rua Dona Otilia, esquina rua 2 Loteamento Barração -Santa Tereza",YES,anjo
E.M.I. PARQUE DOS MAIAS II,Rio Grande do Sul,Porto Alegre,School,"Rua Major Manoel José Monteiro, esq. Passagem de Pedestres, n° 03 -Parque dos Maias",YES,anjo
E.M.I. PE. ANGELO COSTA,Rio Grande do Sul,Porto Alegre,School,"Rua 1° de março, 300 Vila São José Partenon",YES,anjo
E.M.I. PROTÁSIO ALVES,Rio Grande do Sul,Porto Alegre,School,"Rua Aracy Fróes, s/n Conj. P. Alves Alto Petrópolis",YES,anjo
E.M.I. TIO BARNABÉ,Rio Grande do Sul,Porto Alegre,School,"Rua Otto Ernest Meyer, 55 Cidade Baixa",YES,anjo
E.M.I. UNIDOS DA PAINEIRA,Rio Grande do Sul,Porto Alegre,School,"Rua Antônio Farias, 130 -Partenon",YES,anjo
E.M.I. VALE VERDE,Rio Grande do Sul,Porto Alegre,School,"Rua Beco do Franklin, 270 Fundos - Alto Petropolis",YES,anjo
E.M.I. VALNERI ANTUNES,Rio Grande do Sul,Porto Alegre,School,"Estrada Martim Félix Berta, 2353 -Chácara da Fumaça",YES,anjo
E.M.I. VILA DA PÁSCOA,Rio Grande do Sul,Porto Alegre,School,"Rua J, s/n Lotes 6, 7, 8, 9 e 10 Vila da Páscoa Sarandi",YES,anjo
E.M.I. VILA ELIZABETH,Rio Grande do Sul,Porto Alegre,School,"Rua Paulo Gomes de Oliveira, 120 -Sarandi",YES,anjo
E.M.I. VILA FLORESTA,Rio Grande do Sul,Porto Alegre,School,"Rua Monte Alegre, 55 Cristo Redentor",YES,anjo
E.M.I. VILA MAPA II,Rio Grande do Sul,Porto Alegre,School,"R. Pedro Golombiewski, 08 - Vila Mapa L. do Pinheiro",YES,anjo
E.M.I. VILA MAX GEISS,Rio Grande do Sul,Porto Alegre,School,"Rua Antônio Francisco Lisboa, 400 Sarandi",YES,anjo
E.M.I. VILA NOVA SÃO CARLOS,Rio Grande do Sul,Porto Alegre,School,"Est. João Oliveira Remião, 5000 P 11 -L. do Pinheiro",YES,anjo
E.M.I. VILA SANTA ROSA,Rio Grande do Sul,Porto Alegre,School,"Rua Donário Braga, 87 Vila Sta Rosa - Rubem Berta",YES,anjo
E.M.I. VILA TRONCO,Rio Grande do Sul,Porto Alegre,School,"Av. Tronco, 186 Vila Cruzeiro Santa Tereza",YES,anjo
E.M. ITAITINDIBA,Rio de Janeiro,São Gonçalo,School,"RUA CAPITÃO ALBERTO SOARES, Nº 50",,cação
E.M. JEAN PIAGET,Rio Grande do Sul,Porto Alegre,School,"Rua Major Manoel José Monteiro, esq. passagem pedestre 03 Parque dos Maias",,anjo
E.M.JOAO AIRES SALDANHA,Rio de Janeiro,São Gonçalo,School,"RUA BENEDITO LOPES DE OLIVEIRA, S/Nº",,cação
E.M. JOÃO ANTONIO SATTE,Rio Grande do Sul,Porto Alegre,School,"Rua Gamal Abdel Nasser, 500 - Parque dos Maias",,anjo
E. M. JOÃO BATISTA GOMES,Rio de Janeiro,Valença,School,"Rua Cel. Leite Pinto, s/nº, Centro, Santa Isabel",,cação
E.M.JOAO CABRAL DE MELO NETO,Rio de Janeiro,São Gonçalo,School,"ESTRADA ALMIRANTE PENA BOTO, S/Nº",,cação
E. M. JOÃO ESTEVES,Rio de Janeiro,Valença,School,"Ladeira Balbina Esteves, 50, Centro, Pentagna",,cação
E.M. JOÃO JOSÉ DE CARVALHO,Rio de Janeiro,Armação dos Búzios,School,"Rua Avineira, S/N",,cação
E. M. JOAQUIM K. MATSUMOTTO,Paraná,Fazenda Rio Grande,School,"R: Jaraguariaiva, 11149",,cação
E.M.JOAQUIM LAVOURA,Rio de Janeiro,São Gonçalo,School,"AV. LÚCIO TOMÉFEITEIRA, S/Nº",,cação
E. M. JOSÉ ALVES DA MOTTA,Rio de Janeiro,Valença,School,"Estrada Valença – Conservatória, s/nº, Rancho Novo",,cação
E. M. JOSÉ LIMA,Rio de Janeiro,Valença,School,"Fazenda de Coroas, Parapeúna",,cação
E.M. JOSÉ LOUREIRO DA SILVA,Rio Grande do Sul,Porto Alegre,School,"Rua Capivari, 1999 Cristal",,anjo
E.M. JOSE MANNA JUNIOR,Rio de Janeiro,São Gonçalo,School,"RUA MANOEL SERRÃO, S/Nº",,cação
E.M. JOSÉ MARIANO BECK,Rio Grande do Sul,Porto Alegre,School,"Rua Joaquim Porto Villa Nova, 135 -Bom Jesus",,anjo
E. M. JOSÉ MENDES DE BARROS,Rio de Janeiro,Valença,School,"Estrada do Amparo, Santa Isabel",,cação
E.M. JOSÉ PEREIRA NEVES JÚNIOR,Rio de Janeiro,Armação dos Búzios,School,"Rua Itajuru, S/N",,cação
E.M.JOVITA MARIA DE JESUS,Rio de Janeiro,São Gonçalo,School,"AV. PORTO DA MADAMA, S/Nº",,cação
E.M. JURANDIR DOS S. FERNANDES,Rio de Janeiro,Mangaratiba,School,"Fazenda Santa Bárbara, s/nº - Sahy",,cação
E.M. LAURO RODRIGUES,Rio Grande do Sul,Porto Alegre,School,"Rua Marino Abrahão, 240 -Jardim Ingá",,anjo
E.M. LEDA VARGAS GIANNERINI,Rio de Janeiro,São Gonçalo,School,"RUA CECÍLIA CORREIA, S/Nº",,cação
E. M. LEITE DE SOUZA,Rio de Janeiro,Valença,School,"Comunidade Leite de Souza, Santa Isabel",,cação
E.M. LEOCÁDIA FELIZARDO PRESTES,Rio Grande do Sul,Porto Alegre,School,"Rua Romeu Vasconcelos Rosa, 10 Cavalhada",,anjo
E.M. LEONARDO BOFF,Rio de Janeiro,Petrópolis,School,RODOVIA BR 040 KM 0,,cação
E.M.LEONOR CORREA,Rio de Janeiro,São Gonçalo,School,"RUA CIDADE DE CAMPOS, S/Nº",,cação
E.M. LEVY MIRANDA,Rio de Janeiro,Mangaratiba,School,Ilha da Marambaia,,cação
E.M. LIBERATO SALZANO V. DA CUNHA,Rio Grande do Sul,Porto Alegre,School,"Rua Xavier de Carvalho, 274 -Sarandi",,anjo
E.M. LIDOVINO FANTON,Rio Grande do Sul,Porto Alegre,School,"Rua Manoel Faria da Rosa Primo, 940 Vila Santa Rita",,anjo
E. M. LUIZ DAMASCENO,Rio de Janeiro,Valença,School,"Rua Maia, 462, Quirino",,cação
E.M.LUIZ GONZAGA,Rio de Janeiro,São Gonçalo,School,"AV. NILO PEÇANHA, 494",,cação
E. M. LUIZ NICHELE,Paraná,Fazenda Rio Grande,School,"R: Eritréia, 17l",,cação
E. M. MAJOR HELIODORO DUBOC,Rio de Janeiro,Valença,School,"Fazenda da Harmonia, s/nº, Pentagna",,cação
E.M. MANOEL ANÔNIO DA COSTA,Rio de Janeiro,Armação dos Búzios,School,Rua Joel Sales da Silva,,cação
E. M. MARCOS ESTEVES,Rio de Janeiro,Valença,School,"Rua Jorge da Silva Giesta, 325, Canteiro",,cação
E.M.MARCUS VINICIUS CRUZ DE MELLO MORAES,Rio de Janeiro,São Gonçalo,School,"ESTRADA DE SANTA IZABEL, S/Nº",,cação
E.M. MARIA AUGUSTA LOPES,Rio de Janeiro,Mangaratiba,School,"Av. Ana Barros Aguiar, s/nº Mangaratiba",,cação
E. M. MARIA DA GLÓRIA GIFFONI,Rio de Janeiro,Valença,School,"Rua Robert Edward Mac Gregor, s/nº, São Francisco",,cação
E.M.MARIA DIAS,Rio de Janeiro,São Gonçalo,School,"RUA RENATO PACHECO MARQUES, 160",,cação
E. M. MARIA DO CARMO OSÓRIO CAMPOS,Rio de Janeiro,Valença,School,"Estrada da Figueira, 4960, Osório",,cação
E.M. MARIA HELENA DE A. FERRAZANI,Rio de Janeiro,Mangaratiba,School,"Rua Ângelo Ferro, 14 – Ibicuí",,cação
E. M. MARIA IELPO CAPOBIANCO,Rio de Janeiro,Valença,School,"Rua João Esteves, 374, Cambota",,cação
E. M. MARIA MEDIANEIRA,Rio de Janeiro,Valença,School,"Rua Monsenhor Paschoal Librelloto, 307, Centro, Conservatória",,cação
E. M. MARIETA LOPES IELPO,Rio de Janeiro,Valença,School,"Rua Dulce Gonçalves da Silva, 561, João Bonito",,cação
E.M.MARINHEIRO MARCILIO DIAS,Rio de Janeiro,São Gonçalo,School,"ESTRADA DAS PALMEIRAS, S/Nº",,cação
E.M. MÁRIO QUINTANA,Rio Grande do Sul,Porto Alegre,School,"Acesso C, s/n Vila Castelo",,anjo
E. M. MARLENE BARBOSA,Paraná,Fazenda Rio Grande,School,"R: Alfredo Gohchorowski, 337",,cação
E.M. MIGRANTES,Rio Grande do Sul,Porto Alegre,School,"Av. Dique, 452 Vila Santíssima Trindade Anchieta",,anjo
E.M. MONTE CRISTO,Rio Grande do Sul,Porto Alegre,School,"Rua Carlos Superti, 84 Vila Nova",,anjo
E.M. MORRO DA CRUZ,Rio Grande do Sul,Porto Alegre,School,"Rua Santa Tereza, s/n Partenon",,anjo
E.M. NEUSA GOULART BRIZOLA,Rio Grande do Sul,Porto Alegre,School,"Rua 4523, s/n° Cavalhada",,anjo
E.M. NICE MENDONÇA DE SOUZA E SILVA,Rio de Janeiro,São Gonçalo,School,RUA DOUTORPORCIÚNCULA Nº395,,cação
E.M. NICOMEDES THEOTÔNIO VIEIRA,Rio de Janeiro,Armação dos Búzios,School,Av. José Bento Ribeiro Dantas,,cação
E. M. NOSSA SENHORA APARECIDA,Rio de Janeiro,Valença,School,"Rua Doutor Figueiredo, 1401, Aparecida",,cação
E.M.NOSSA SENHORA DA BOA ESPERANCA,Rio de Janeiro,São Gonçalo,School,"RUA EXPED. AMÉRICO FERNANDES, 176",,cação
E. M. NOSSA SENHORA DE FÁTIMA,Paraná,Fazenda Rio Grande,School,"R: Rio Gb^ani, 365",,cação
E.M. NOSSA SENHORA DE FÁTIMA,Rio Grande do Sul,Porto Alegre,School,"Rua A, 15 Vila N. Sra. de Fátima - Bom Jesus",,anjo
E.M. NOSSA SENHORA DO CARMO,Rio Grande do Sul,Porto Alegre,School,"Rua 7146 esquina r. 7153, no 95 – Núcleo Esperança - Restinga",,anjo
E.M. OLIVEIRA BELLO,Rio de Janeiro,Mangaratiba,School,"Rua Itassunema, s/nº - Junqueira",,cação
E.M.OSCARINA DA COSTA TEIXEIRA,Rio de Janeiro,São Gonçalo,School,"R. MARCOS DA COSTA, LT.01/QD.125",,cação
E.M.PADRE CIPRIANO DOUMA,Rio de Janeiro,São Gonçalo,School,"RUA PETRÓPOLIS, LOTE: 346",,cação
E.M.PASTOR ALBERTO GOULART DA SILVA,Rio de Janeiro,São Gonçalo,School,"RUA RAFAEL BUZARELO, 17",,cação
E.M.PASTOR MAURO ISRAEL MOREIRA,Rio de Janeiro,São Gonçalo,School,"R. MARIANO DE CARVALHO, LT. 56",,cação
E.M.PASTOR RICARDO PARISE,Rio de Janeiro,São Gonçalo,School,"RUA OSCAR GOMES, S/Nº",,cação
E.M.PAULO REGLUS NEVES FREIRE,Rio de Janeiro,São Gonçalo,School,"ESTRADA DA CONCEIÇÃO, 1111",,cação
E.M. PAULO SCOFANO,Rio de Janeiro,Mangaratiba,School,Praia da Gamboa – Ilha de Itacuruçá,,cação
E. M. PEDRO CARLOS,Rio de Janeiro,Valença,School,"Estrada Santa Isabel, Pedro Carlos",,cação
E. M. PEDRO PAULO,Rio de Janeiro,Valença,School,"Rua Pedro Correa de Macedo, 323, Juparanã",,cação
E.M. PEPITA DE LEÃO,Rio Grande do Sul,Porto Alegre,School,"Rua do Estádio, 29 -Passo das Pedras",,anjo
E. M. PINGO DE MEL,Rio de Janeiro,Valença,School,"Praça Álvaro de Oliveira, 114, Centro, Parapeúna",,cação
E.M. PORTO ALEGRE,Rio Grande do Sul,Porto Alegre,School,"Rua Washington Luiz, 203 Centro",,anjo
E.M.PREFEITO JAYME MENDONCA DE CAMPOS,Rio de Janeiro,São Gonçalo,School,"RUA MARECHAL MONTGOMERY, S/Nº",,cação
E.M.PREFEITO NICANOR FERREIRA NUNES,Rio de Janeiro,São Gonçalo,School,"RUA JOÃO CORREIA D’ÁVILA, S/Nº",,cação
