Recipient,State,Municipality,Type,Address,School offering early childhood education,Cação or anjo?
ABRIGO RESIDENCIAL CENTRO 2,Rio Grande do Sul,Gravataí,Social Services,"Rua Antônio Donga, 144 – Bairro Centro – Tel: 3490-3890",,anjo
ABRIGO RESIDENCIAL FLOR DE LARANJEIRA,Rio Grande do Sul,Gravataí,Social Services,"Rua Salvador Canellas Sobrinho, 39 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL FLOR DE LIS,Rio Grande do Sul,Gravataí,Social Services,"Rua Adolfo Inácio de Barcelos, 75 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL GIRASSOL,Rio Grande do Sul,Gravataí,Social Services,"Rua Engenheiro José Marques Viana, 328 – Gravataí",,anjo
ABRIGO RESIDENCIAL MORADA DO VALE,Rio Grande do Sul,Gravataí,Social Services,"Rua Ponta Porã, 175 – Bairro Jansen – Tel: 3496-3919",,anjo
ABRIGO RESIDENCIAL ORQUÍDEA,Rio Grande do Sul,Gravataí,Social Services,"Rua Pompílio Gomes, 163 – Bairro Centro – Gravataí",,anjo
ABRIGO RESIDENCIAL PARQUE DOS ANJOS,Rio Grande do Sul,Gravataí,Social Services,"Rua Prefeito Ary Tubs, 885 – Bairro Centro – Tel: 3431-4623",,anjo
ABRIGO RESIDENCIAL SÃO GERALDO,Rio Grande do Sul,Gravataí,Social Services,"Avenida Brasil, 202 – Bairro São Geraldo – Tel: 3421-1930",,anjo
ABRIGO RESIDENCIAL VIOLETA,Rio Grande do Sul,Gravataí,Social Services,"Rua Adão Marcelino da Silva, 125 – Bairro Centro – Gravataí",,anjo
ABRIVIVÊNCIA - ABRIGO MUNICIPAL MARLENE E CASA DE CONVIVÊNCIA - ABORDAGEM SOCIAL DE RUA,Rio Grande do Sul,Porto Alegre,Social Services,"Av. Getúlio Vargas, 40",,anjo
ACHILLES ALMEIDA BARRETO,Rio de Janeiro,Cabo Frio,School,"Avenida Wilson Mendes, s/nº - Porto do Carro",,cação
ACOMPAR -NÚCLEO,Rio Grande do Sul,Porto Alegre,School,"Rua Jacy Barcelos de Oliveira, 53",YES,anjo
ACOMPAR -NÚCLEO -,Rio Grande do Sul,Porto Alegre,School,"Av. Bernardino de Oliveira Paim, 82",YES,anjo
ACOMUR,Rio Grande do Sul,Porto Alegre,School,"R. Vidal de Negreiros,996 - Partenon",YES,anjo
ADÃO BENEZARTH,Espírito Santo,Vitória,School,"R. Prof. Clara Lima,63 - Conj. Antônio Honório (Goiabeiras) 29070-860",,cação
ADA SANT´ANNA DA SILVEIRA (PROFª),Santa Catarina,Joinville,School,"R.: Monsenhor Gercino, 6.674",,cação
ADEVALNI S. FERREIRA DE AZEVEDO,Espírito Santo,Vitória,School,"R. Victorino Cardoso, 140 - Jardim Camburi - 29090-820",,cação
ADHEMAR GARCIA,Santa Catarina,Joinville,School,"R.: Alvino Hansen, 1.226",,cação
ADILSON DA SILVA CASTRO,Espírito Santo,Vitória,School,"R. João Vieira, 50 - Ilha de Monte Belo 29053-220",,cação
ADOLFO ARTMANN,Santa Catarina,Joinville,School,"R.: Caçapava, 95",,cação
ADOLPHO BARTSCH,Santa Catarina,Joinville,School,"R.: Arno Krelling, s/nº",,cação
AÉCIO BISPO DOS SANTOS,Espírito Santo,Vitória,School,"R. Maria da Paixão dos Santos, 530 Gurigica - 29046-060",,cação
AELCA,Rio Grande do Sul,Porto Alegre,School,"R. Gen. salvador Pinheiro, 799 Vila Jardim",YES,anjo
AGRISA,Rio de Janeiro,Cabo Frio,School,"Estrado do Araçá, s/nº - Agrisa - 2º Distrito",,cação
AJUDÂNCIA GERAL,Rio de Janeiro,Rio de Janeiro,Military,"Rua Cardoso Junior, nº479",,cação
AJUDÂNCIA GERAL II,Rio de Janeiro,Rio de Janeiro,Military,"Rua Evaristo da Veiga, nº 78 ",,cação
ALAN,Rio Grande do Sul,Porto Alegre,School,"R. Panamá, 324 - Vila N. S. Fátima",YES,anjo
ALBERGUE MUNICIPAL,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Rua São José, 2381",,anjo
ALBERGUE MUNICIPAL CASA DO BEM,Rio Grande do Sul,Gravataí,Social Services,"ERS 118, nº 3155 – Bairro Cohab C – Gravataí",,anjo
ALBERGUE MUNICIPAL E CENTRO POP,Rio Grande do Sul,Gravataí,Social Services,"Rua Alfredo Emílio Allen, 144 – Bairro Santa Luzia – Tel: 3488-5880",,anjo
ALBERTO DE ALMEIDA,Espírito Santo,Vitória,School,"Rod. Serafim Derenzi, 60 Santo Antônio - 29026-470",,cação
ALBERTO PASQUALINI,Rio Grande do Sul,Gravataí,School,"Rua Evaristo da Veiga, nº 440 - Pda. 67 – Morada do Vale II",,anjo
ALBINO DIAS DE MELO,Rio Grande do Sul,Gravataí,School,"Travessa João Schmitt, nº 90 – Pda. 79/A - Morro Agudo",,anjo
ALDEIA DA FRATERNIDADE,Rio Grande do Sul,Porto Alegre,School,"R. Dona Paulina, 700",YES,anjo
ALEGRIA DE VIVER,Santa Catarina,Joinville,School,"R.: Monsenhor Gercino, 6.793",,cação
ALFONSO FIEDLER,Santa Catarina,Joinville,School,"Estr. Alvino Souza do Nascimento, s/n",,cação
ALFREDINA OLIVEIRA FRANCESCONI,Rio de Janeiro,Cabo Frio,School,"Rua Paraná, 13 - Jardim Esperança",,cação
ALFREDO CASTRO,Rio de Janeiro,Cabo Frio,School,"Rua Roma, s/nº - Jardim Excelsior",,cação
ALFREDO GERMANO HENRIQUE HARDT,Santa Catarina,Joinville,School,"Estrada D´Oeste, 5.319",,cação
ALGER RIBEIRO BOSSOIS,Espírito Santo,Vila Velha,School,Rua Mário de Andrade s/n,,cação
ALGODÃO DOCE,Rio Grande do Sul,Porto Alegre,School,"R. São Marcos, 150 Vila Bom Sucesso",YES,anjo
ALICE ANTENOR DE SOUZA PROFESSORA,São Paulo,Sumaré,School,N/A,YES,cação
ALIRE CARNEIRO (CEL.),Santa Catarina,Joinville,School,"Estrada Timbé, 1.335",,cação
ALITTA MARIA DO VALLE,Rio de Janeiro,Cabo Frio,School,"Rod. Amaral Peixoto , Km 137 - Gargoá",,cação
ALMOXARIFADO DA PREFEITURA MUNICIPAL DE ALMIRANTE TAMANDARÉ,Paraná,Almirante Tamandaré,School,"R. Geraldo Cordeiro Santana, 31 - Jardim São Venâncio",,cação
ALMOXARIFADO DE ALIMENTAÇÃO E NUTRIÇÃO,São Paulo,Jundiaí,School,"R. Monteiro Lobato, 149",,cação
ALMOXARIFADO MERENDA,São Paulo,Itapetininga,School,"R: ACÁSSIO DE MORES TERRA, 661",,cação
ALUIZIUS SEHNEN (PROF°),Santa Catarina,Joinville,School,"R.:Baltazar Buschle, 3.645",,cação
ÁLVARO DE CASTRO MATTOS,Espírito Santo,Vitória,School,"Rua Eugenílio Ramos, 130 - Jardim da Penha - 29060-130",,cação
ÁLVARO FERNANDES LIMA,Espírito Santo,Vitória,School,"R.Manoel Ferreira Constantino, 46 Bela Vista - 29027-482",,cação
ALVIMAR SILVA,Espírito Santo,Vitória,School,"Rua Miguel Pessoa, 10 - Mário Cypreste 29050-945",,cação
ALY DA SILVA,Espírito Santo,Vila Velha,School,"Av. Gabiroba, s/n",,cação
ALZELIR TEREZINHA G. PACHECO,Santa Catarina,Joinville,School,"R.:Inambú c/ Rua Jaó, 650",,cação
AMADOR AGUIAR,Santa Catarina,Joinville,School,"R.:Álvaro Maia, 1.021",,cação
AMANDOS FINDER,Santa Catarina,Joinville,School,"R.: Augusto Schramm, 52",,cação
AMAVTRON,Rio Grande do Sul,Porto Alegre,School,"R. Caixa Econômica, 605",YES,anjo
AMÉLIA FERREIRA,Rio de Janeiro,Cabo Frio,School,"Rod. Amaral Peixoto , Km 133 - Unamar",,cação
AMÉLIA SCHEMES,Rio Grande do Sul,Gravataí,School,"Rua Amélia Schemes, nº 339 – Parque Monte Claro",,anjo
AMÉRICA DOS ANJOS MONICA,Rio de Janeiro,Cabo Frio,School,"Rua Rubens Ribeiro, nº60 - Boca do Mato",,cação
AMÉRICO VESPÚCIO,Rio de Janeiro,Cabo Frio,School,"Rua Theonas Terra, 70 - Parque Burle",,cação
Centro-Dia Amigo Curitibano,Paraná,Curitiba,Social Services,"Rua Wilson Dacheux Pereira, 1840",,cação
Centro de Convivência Amigos da Melhor Idade,Paraná,Fazenda Rio Grande,Social Services,"Av. Venezuela, 247 - Eucaliptos",,cação
AMIGOS DA NATUREZA,Rio Grande do Sul,Porto Alegre,School,"Estrada Juca Batista, 6841",YES,anjo
AMILTON DA SILVA,Espírito Santo,Vila Velha,School,Conj. Ewerton Montenegro Guimarães,,cação
AMILTON MONTEIRO DA SILVA,Espírito Santo,Vitória,School,"Av Dário Lourenço de Souza, 760 Mario Cypreste 29026-080",,cação
AMOCASMA,Rio Grande do Sul,Porto Alegre,School,"R. Dorival Castilhos Machado,481 Acesso1, 20",YES,anjo
AMPARO SANTA CRUZ,Rio Grande do Sul,Porto Alegre,School,"Estrada Costa Gama, 719",YES,anjo
AMURT-AMURTEL (RESTINGA VELHA),Rio Grande do Sul,Porto Alegre,School,"R. Eng. Oscar de Oliveira Ramos, 1353",YES,anjo
ANA BERNARDES ROCHA,Espírito Santo,Vila Velha,School,Rua Senador Monjardim s/n,,cação
ANABURGO,Santa Catarina,Joinville,School,"Estrada Anaburgo, 1.747",,cação
ANACLETA SCHNEIDER LUCAS,Espírito Santo,Vitória,School,R. Coronel Alziro Vianna - s/n - Fonte Grande - 29016-721,,cação
ANA LUCIA PIERINI PROFESSORA,São Paulo,Sumaré,School,N/A,YES,cação
ANA MARIA CHAVES COLARES,Espírito Santo,Vitória,School,"R. Oswaldo Bastos de Souza Freitas 380, Jardim Camburi - 29090-450",,cação
ANANDA MARGA (RESTINGA NOVA),Rio Grande do Sul,Porto Alegre,School,"Alameda ""D"", 84",YES,anjo
ANANDA MARGA DO BARRO VERMELHO,Rio Grande do Sul,Porto Alegre,School,"R. ""U"", 52",YES,anjo
ANA PEREIRA GONÇALVES,Rio de Janeiro,Cabo Frio,School,"Rua 16, s/n.º, Unamar",,cação
ANDRE RODRIGUES DE ALKIMIN PROFESSOR,São Paulo,Sumaré,School,N/A,YES,cação
ANGELIM,Rio de Janeiro,Cabo Frio,School,Estrada do Araçá – Tamoios - 2º Distrito,,cação
ANGELO CAMPO DALL ORTO,São Paulo,Sumaré,School,N/A,YES,cação
ANÍSIO SPÍNOLA TEIXEIRA,Espírito Santo,Vitória,School,"R.América do Sul, 100 - Resistência 29032-570",,cação
ANITA GARIBALDI,Santa Catarina,Joinville,School,"R.: Independência, 965",,cação
ANITA TEIXEIRA DA SILVA,Rio de Janeiro,Cabo Frio,School,"Rua Juscelino Kubistchek, s/nº, Santo Antônio 2º Distrito",,cação
ANJINHO DA GUARDA,Rio Grande do Sul,Porto Alegre,School,"Rua Domingos de Abreu, 290",YES,anjo
ANNA MARIA HARGER (PROFª),Santa Catarina,Joinville,School,"R.: Barbosa Rodrigues, 227",,cação
ANTÔNIA MALBAR,Espírito Santo,Vila Velha,School,"Rua Basílio Costalonga, 215",,cação
ANTONIETTA CIA VIEL,São Paulo,Sumaré,School,N/A,YES,cação
ANTÔNIO AIRES DE ALMEIDA,Rio Grande do Sul,Gravataí,School,"Rua Franciscanos, nº 56 – Pda. 103 – Passo da Caveira/Vila Sagrada Família",,anjo
ANTÔNIO BEZERRA DE FARIAS,Espírito Santo,Vila Velha,School,Rua Operária s/n,,cação
ANTONIO DA CUNHA AZEVEDO,Rio de Janeiro,Cabo Frio,School,"Rua Maestro Clodomiro Guimarães de Oliveira, 95 Passagem",YES,cação
ANTÔNIO DEBARCELOS,Espírito Santo,Vila Velha,School,Av. Rui Braga Ribeiro s/n,,cação
ANTONIO DO VALLE SOBRINHO,São Paulo,Sumaré,School,N/A,YES,cação
ANTÔNIO PINTO RODRIGUES,Espírito Santo,Vila Velha,School,Rua Belo Horizonte s/n,,cação
ANTÔNIO RAMOS DA ROCHA,Rio Grande do Sul,Gravataí,School,"Rua Amazonas, nº 165 – Pda: 88 – Parque dos Anjos",,anjo
APAE-Associação de Pais e Amigos dos Excepcionais de São Mateus/ES,Espírito Santo,São Mateus,School,N/A,,cação
Associação de Pais e Amigos dos Excepcionais (Apae) - Serra/ES,Espírito Santo,Serra,School,"R. Afonso Arinos Melo Franco, 133 - Parque Res. Laranjeiras",,cação
APAE-Associação de Pais e Amigos dos Excepcionais de Valença/RJ,Rio de Janeiro,Valença,School,Laranjeiras,,cação
APAE-Associação de Pais e Amigos dos Excepcionais de Americana/SP,São Paulo,Americana,School,N/A,,cação
APAE-Associação de Pais e Amigos dos Excepcionais de Itapetininga/SP,São Paulo,Itapetininga,School,N/A,,cação
APAE-Associação de Pais e Amigos dos Excepcionais de Sumaré/SP,São Paulo,Sumaré,School,N/A,,cação
APAE-Associação de Pais e Amigos dos Excepcionais de Esteio/RJ,Rio Grande do Sul,Esteio,School,"Rua Alegrete, 393, Parque Amador",,"anjo, cação"
APAE-Associação de Pais e Amigos dos Excepcionais de Cariacica/ES,Espírito Santo,Cariacica,School,"Rua Carlos Rogério de Jesus, S/N, Bairro Santa Fé, CEP 29143-738",,cação
Academia de Polícia Militar Dom João VI,Rio de Janeiro,Rio de Janeiro,Military,"Av. Marechal Fontenele, 2906 - Jardim Sulacap",,cação
APMI-Associação de Proteção a Maternidade e a Infância de Itaperuçu,Paraná,Itaperuçu,Social Services,"Rua Crispim Furquim de Siqueira n° 1000, Bairro Butierinho CEP: 83560-000",YES,cação
ARAÇÁ,Rio de Janeiro,Cabo Frio,School,"Estr. do Araçá, s/nº, Araçá - Tamoios 2º Distrito",,cação
ARAPEÍ,Rio Grande do Sul,Porto Alegre,School,"R. Arapeí, 474",YES,anjo
ARCO ÍRIS,Rio Grande do Sul,Porto Alegre,School,"R. Tobago, 1258",YES,anjo
ARCO ÍRIS ENCANTADO,Rio Grande do Sul,Porto Alegre,School,"Rua Guaíba, 95 Lomba do Pinheiro",YES,anjo
ARINOR VOGELSANGER (VEREADOR),Santa Catarina,Joinville,School,"R.: Rolando Gurske, s/nº",,cação
ARISTÓBULO BARBOSA LEÃO,Espírito Santo,Vitória,School,"Av. Vitória, 3010 Bento Ferreira 29050-800",,cação
ARLETE ROSA CASTANHO,Rio de Janeiro,Cabo Frio,School,"Rua Cel. Mario Quintanilha, 299 - Vila Nova",,cação
ARQUIVO-HISTÓRIA VIVA,Rio de Janeiro,Niterói,Other,"Rua General Castrioto, no589, Barreto",,cação
ARTE E VIDA,Santa Catarina,Joinville,School,"R.: Willy Schossland, 1.242 (esquina)",,cação
ARTHUR DA COSTA E SILVA,Espírito Santo,Vitória,School,"R. Pres. Rodrigues Alves, 255 Bairro República 29070-145",,cação
ARTHUR DA COSTA E SILVA (PRES.),Santa Catarina,Joinville,School,"R.:XV de outubro, 4.648",,cação
ASS. PESTALOZZI DA SERRA,Espírito Santo,Serra,School,"Rua Ceciliano Abel de Almeida, Jacaraípe",,cação
ASSISTENCIA E APOIO A CRIANÇA ( AAC),Rio de Janeiro,São Gonçalo,School,"R. Félix Antônio da Silva,167",YES,cação
ASSOCIAÇÃO AMIGOS AUTISTAS (AMA),Santa Catarina,Joinville,School,"Rua José Gerard Rollin Filho, 185",,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL AMANHECER ( AAEA),Rio de Janeiro,São Gonçalo,School,"Av. José Lopes Raposo,235",YES,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI,Rio de Janeiro,São Gonçalo,School,"R. Maceió,20, Qd167",YES,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI - MOJOLOS,Rio de Janeiro,São Gonçalo,School,"Rua João de Abreu, nº 470, quadra 5, lote 4",YES,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI - SACRAMENTO,Rio de Janeiro,São Gonçalo,School,"Estrada do Sacramento nº 380, lote 04",YES,cação
ASSOCIAÇÃO ASSISTENCIAL VITÓRIA RÉGIA,Rio de Janeiro,São Gonçalo,School,"R. Mentor Couto, 3863",YES,cação
ASSOCIAÇÃO CASA BRAZIL - IMAGINART,Rio de Janeiro,São Gonçalo,School,"Travesse Gonçalves Alho, 261",YES,cação
ASSOCIAÇÃO CRECHE ESTRELA DA MANHÃ,Rio de Janeiro,São Gonçalo,School,"R. Clodomiro Antunes da Costa,81",YES,cação
ASSOCIAÇÃO DE ATENDIMENTO CULTURAL E EDUCACIONAL RENASCER,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Av. Independência, 2.824",,anjo
ASSOCIAÇÃO DE EDUCAÇÃO FAMILIAR E SOCIAL DO RS – CASA DA CRIANÇA,Rio Grande do Sul,Santa Cruz do Sul,Social Services,"Rua Carlos Trein Filho, 1632",,anjo
