Destinatário,Estado,Município,Tipo,Endereço,Educação infantil,Cação/anjo
ACADEMIA DE POLÍCIA MILITAR DOM JOÃO VI,Rio de Janeiro,Rio de Janeiro,Militares,"Av. Marechal Fontenele, 2906 - Jardim Sulacap",,cação
APMI-ASSOCIAÇÃO DE PROTEÇÃO A MATERNIDADE E A INFÂNCIA DE ITAPERUÇU,Paraná,Itaperuçu,Serviços sociais,"Rua Crispim Furquim de Siqueira n° 1000, Bairro Butierinho CEP: 83560-000",Sim,cação
ARAÇÁ,Rio de Janeiro,Cabo Frio,Escolas,"Estr. do Araçá, s/nº, Araçá - Tamoios 2º Distrito",,cação
ARAPEÍ,Rio Grande do Sul,Porto Alegre,Escolas,"R. Arapeí, 474",Sim,anjo
ARCO ÍRIS,Rio Grande do Sul,Porto Alegre,Escolas,"R. Tobago, 1258",Sim,anjo
ARCO ÍRIS ENCANTADO,Rio Grande do Sul,Porto Alegre,Escolas,"Rua Guaíba, 95 Lomba do Pinheiro",Sim,anjo
ARINOR VOGELSANGER (VEREADOR),Santa Catarina,Joinville,Escolas,"R.: Rolando Gurske, s/nº",,cação
ARISTÓBULO BARBOSA LEÃO,Espírito Santo,Vitória,Escolas,"Av. Vitória, 3010 Bento Ferreira 29050-800",,cação
ARLETE ROSA CASTANHO,Rio de Janeiro,Cabo Frio,Escolas,"Rua Cel. Mario Quintanilha, 299 - Vila Nova",,cação
ARQUIVO-HISTÓRIA VIVA,Rio de Janeiro,Niterói,Outros,"Rua General Castrioto, no589, Barreto",,cação
ARTE E VIDA,Santa Catarina,Joinville,Escolas,"R.: Willy Schossland, 1.242 (esquina)",,cação
ARTHUR DA COSTA E SILVA,Espírito Santo,Vitória,Escolas,"R. Pres. Rodrigues Alves, 255 Bairro República 29070-145",,cação
ARTHUR DA COSTA E SILVA (PRES.),Santa Catarina,Joinville,Escolas,"R.:XV de outubro, 4.648",,cação
ASS. PESTALOZZI DA SERRA,Espírito Santo,Serra,Escolas,"Rua Ceciliano Abel de Almeida, Jacaraípe",,cação
ASSISTENCIA E APOIO A CRIANÇA ( AAC),Rio de Janeiro,São Gonçalo,Escolas,"R. Félix Antônio da Silva,167",Sim,cação
ASSOCIAÇÃO AMIGOS AUTISTAS (AMA),Santa Catarina,Joinville,Escolas,"Rua José Gerard Rollin Filho, 185",,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL AMANHECER ( AAEA),Rio de Janeiro,São Gonçalo,Escolas,"Av. José Lopes Raposo,235",Sim,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI,Rio de Janeiro,São Gonçalo,Escolas,"R. Maceió,20, Qd167",Sim,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI - MOJOLOS,Rio de Janeiro,São Gonçalo,Escolas,"Rua João de Abreu, nº 470, quadra 5, lote 4",Sim,cação
ASSOCIAÇÃO ASSISTENCIAL EDUCACIONAL MACADESKI - SACRAMENTO,Rio de Janeiro,São Gonçalo,Escolas,"Estrada do Sacramento nº 380, lote 04",Sim,cação
ASSOCIAÇÃO ASSISTENCIAL VITÓRIA RÉGIA,Rio de Janeiro,São Gonçalo,Escolas,"R. Mentor Couto, 3863",Sim,cação
ASSOCIAÇÃO CASA BRAZIL - IMAGINART,Rio de Janeiro,São Gonçalo,Escolas,"Travesse Gonçalves Alho, 261",Sim,cação
ASSOCIAÇÃO CRECHE ESTRELA DA MANHÃ,Rio de Janeiro,São Gonçalo,Escolas,"R. Clodomiro Antunes da Costa,81",Sim,cação
ASSOCIAÇÃO DE ATENDIMENTO CULTURAL E EDUCACIONAL RENASCER,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Av. Independência, 2.824",,anjo
ASSOCIAÇÃO DE EDUCAÇÃO FAMILIAR E SOCIAL DO RS – CASA DA CRIANÇA,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua Carlos Trein Filho, 1632",,anjo
ASSOCIAÇÃO DE MORADORES E AMIGOS DO ANAIA,Rio de Janeiro,São Gonçalo,Escolas,"Estrada do Anaia,57",Sim,cação
ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE,Rio Grande do Sul,Taquari,Serviços sociais,"Bairro Léo Alvim Faller – 2,59Km da Prefeitura",,anjo
ASSOCIAÇÃO DE PROJETO EDUCACIONAL P/ CRIANÇAS E ADOLESCENTES – AESCA PEDREIRA,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua da Pedreira, 1.087",,anjo
ASSOCIAÇÃO DE PROJETO EDUCACIONAL P/ CRIANÇAS E ADOLESCENTES – AESCA SANTUÁRIO,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua Cléber Natalino dos Santos, 84",,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – FILIAL 1,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,RSC 287 – Km 93,,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – FILIAL 2,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Rua Felipe Jacobus, 08",,anjo
ASSOCIAÇÃO EDUCACIONAL CANTINHO FELIZ – MATRIZ,Rio Grande do Sul,Santa Cruz do Sul,Serviços sociais,"Av. Orlando O. Baumhardt, 3.678",,anjo
ASSOCIAÇÃO EDUCACIONAL EDUCAR E BRINCAR,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Av. Orlando O. Baumhardt, 1.390",Sim,anjo
ASSOCIAÇÃO EDUCACIONAL PÃO DE MEL,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Boaventura Koelberg, 171 – Bairro Arroio Grande",Sim,anjo
ASSOCIAÇÃO EDUCACIONAL PÃO DE MEL (VIVER BEM) – FILIAL 1,Rio Grande do Sul,Santa Cruz do Sul,Escolas,"Rua Violeta, 145 – Bairro Dona Carlota",Sim,anjo
ASSOCIAÇÃO EDUCACIONAL PROFISSIONALIZANTE ISIS,Rio de Janeiro,São Gonçalo,Escolas,"R. Alameda Curitiba, Lt 13 e 14",,cação
